QID,CID,Category & chapter,Question,Answer format,Answer format guidance,Info and guidance,Answer options,1-7 Explanations,How this answer will be used
03000,3,"Arousal Styles — Cues, Conditions & Brakes","What turns you on (and off) is a mix of cues, mood, and situation. It shifts over time, and consent always sets the limits.",,,,,,
03003,3,"Arousal Styles — Cues, Conditions & Brakes",Which kinds of settings or vibes most reliably turn you on? (Pick up to 3.),Multiple choice,Select up to 3 options.,"Focus on what works for you, not what sounds adventurous or 'evolved'. Multiple answers are fine.","- Private, calm, and feeling safe
- New or adventurous situations
- Slow, intentional, almost ritual-like
- Unplanned, spur-of-the-moment
- A bit forbidden, edgy, or rule-breaking
- Being seen — or almost being seen — by others
- Something else",N/A,"Helps identify whether privacy, ritual, spontaneity, adventure, or edge is part of your arousal style."
03004,3,"Arousal Styles — Cues, Conditions & Brakes",I need to feel emotionally close before I want sex.,1-7 scale,Select how true this statement is for you.,This is about whether emotional closeness actually opens your desire — not whether you value connection in general.,"1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: emotional closeness is not a major requirement for desire to show up for you.
2 = Mostly not true: connection can help a little, but desire usually does not depend much on emotional closeness.
3 = Slightly not true: emotional connection matters somewhat, though desire can still emerge without much of it.
4 = Mixed / depends: connection often helps desire, but it is not always required for you to feel engaged.
5 = Slightly true: desire usually works better when you feel emotionally connected to the other person.
6 = Mostly true: emotional closeness strongly supports your ability to access, sustain, or enjoy desire.
7 = Very true: without emotional closeness, desire is often hard to access, sustain, or enjoy fully.","Helps determine whether emotional closeness is optional, supportive, or close to a prerequisite for desire."
03005,3,"Arousal Styles — Cues, Conditions & Brakes",What most reliably moves you from 'not really interested' to actually turned on?,Single choice,Select one option.,"Go with what actually flips the switch in real life, not the answer that sounds best on paper.","- Physical stuff — touch, rhythm, build-up, body sensation
- The right setting — low stress, privacy, time, feeling safe
- Emotional closeness — warmth, affection, feeling connected
- Something new — surprise, exploration, novelty
- Skill and technique — when one of us is really good at it
- My imagination — fantasy, what I'm watching, reading, or picturing
- It varies — no single thing stands out",N/A,One of the clearest direct indicators of your primary arousal pathway.
03006,3,"Arousal Styles — Cues, Conditions & Brakes",How do you usually figure out what works for you sexually?,Single choice,Select one option.,This is how you actually learn about your sexuality — not the method you think sounds best.,"- I want clear guidance, instructions, and feedback
- I learn by trying things and seeing what happens
- I follow what feels natural in the moment, no overthinking
- I'd rather not treat sex as a project to work on",N/A,"Helps distinguish guided, analytical, and intuitive approaches to sexual growth and exploration."
03008,3,"Arousal Styles — Cues, Conditions & Brakes",I prefer sex that is intense and high-energy over sex that is soft and slow.,1-7 scale,Select how true this statement is for you.,"Pick the energy you usually prefer, not what fits one mood or one experience.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: You strongly prefer sex to feel softer, gentler, calmer, or more grounded than intense.
2 = Mostly not true: You usually lean toward gentle, tender, calm, or slower sexual energy.
3 = Slightly not true: You can enjoy some activation, but generally prefer sex to stay more soft than intense.
4 = Mixed / depends: You enjoy both softness and intensity, depending on context, mood, or dynamic.
5 = Slightly true: You often prefer more charge, edge, or activation, though softness still matters.
6 = Mostly true: You are usually drawn to stronger, faster, or more charged erotic energy.
7 = Very true: You strongly prefer high-intensity, high-charge, or high-activation erotic energy",Helps position your erotic style on a calm-to-intense spectrum.
03009,3,"Arousal Styles — Cues, Conditions & Brakes","Sexual tension, anticipation, and being chased or pursued reliably turn me on.",1-7 scale,Select how true this statement is for you.,"Think about what creates real erotic pull for you over time, not just a one-off thrill.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: chase energy, tension, or pursuit are not important ingredients in your turn-on.
2 = Mostly not true: you may notice some spark from anticipation now and then, but it is usually not central for you.
3 = Slightly not true: tension or pursuit can add something in certain moments, though they are not major turn-on drivers.
4 = Mixed / depends: anticipation or pursuit can add spark, but they are not central or consistently important.
5 = Slightly true: some tension, teasing, or pursuit often helps create erotic charge for you.
6 = Mostly true: anticipation, longing, teasing, or pursuit are often meaningful parts of what turns you on.
7 = Very true: tension, longing, teasing, or the energy of pursuit are strong and recurring parts of what turns you on.","Helps identify whether tension, pursuit, and anticipation are meaningful arousal drivers for you."
03010,3,"Arousal Styles — Cues, Conditions & Brakes",Which kind of sexual atmosphere usually feels best for you?,Single choice,Select one option.,"Pick the level of uncertainty, novelty, and edge that feels most alive for you when sex is going well.","- Very safe, calm, and predictable
- Mostly safe, with a little novelty
- A balance of familiar and new
- Adventurous, as long as the limits are clear
- Intense or taboo energy — within limits we've both agreed to.",N/A,"Strong signal for whether your style stays mostly safe and private or includes more edge, novelty, or taboo energy."
03011,3,"Arousal Styles — Cues, Conditions & Brakes",Sex feels best to me when it feels meaningful or sacred — not just physical.,1-7 scale,Select how true this statement is for you.,"You don't need to be religious. Picture sex that feels emotionally or spiritually significant, vs. sex that's purely about pleasure.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: sexual fulfillment is not strongly tied to ritual, meaning, or sacredness for you.
2 = Mostly not true: meaning can be nice, but it is usually not a major factor in whether sex feels fulfilling.
3 = Slightly not true: depth or significance may enrich sex sometimes, though it is not usually central for you.
4 = Mixed / depends: meaning or ritual can enrich sex in some situations, but they are not always central.
5 = Slightly true: sex often feels more fulfilling when it carries some emotional, symbolic, or meaningful depth.
6 = Mostly true: significance, ritual, or a deeper sense of meaning are often important parts of fulfillment for you.
7 = Very true: sex feels most fulfilling when it carries significance, ritual, reverence, or a deeper sense of meaning.","Helps identify whether meaning, ritual, and depth are central to sexual fulfillment for you."
03012,3,"Arousal Styles — Cues, Conditions & Brakes","Without something a bit forbidden, taboo, or high-intensity, sex can feel flat to me.",1-7 scale,Select how true this statement is for you.,"This is checking whether sex generally needs an extra charge — like risk, role-play, power dynamics, dirty talk, or pushing against rules — to feel engaging for you. ","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: gentle, straightforward, or emotionally connected sex can feel fully alive for you without strong edge or taboo.
2 = Mostly not true: some intensity may be enjoyable at times, but it is usually not needed for sex to feel engaging.
3 = Slightly not true: edge can add spark sometimes, though sex does not generally depend on it to feel alive.
4 = Mixed / depends: edge, taboo, or intensity can add excitement, but they are not required in every context.
5 = Slightly true: some edge or erotic intensity often helps sex feel more alive, even if it is not always necessary.
6 = Mostly true: without enough charge, edge, or intensity, sex often feels less engaging or less alive for you.
7 = Very true: without some intensity, taboo flavor, or erotic charge, sex often feels less alive or less engaging for you.",Key indicator of whether edge or taboo is part of your erotic baseline rather than occasional curiosity.
03013,3,"Arousal Styles — Cues, Conditions & Brakes",Which turns you on most?,Single choice,Select one option.,Answer from fantasy or real life — pick the one with the strongest pull for you.,"- Being watched, desired, or admired
- Watching the other person — their body, reactions, pleasure
- Getting fully absorbed in the feeling, with no focus on watching either way
- Not sure",N/A,"Helps distinguish being seen, watching, and inward/relational arousal patterns."
03014,3,"Arousal Styles — Cues, Conditions & Brakes","During sex, I can usually reach orgasm when I want to.",1-7 scale,Select how true this statement is for you.,"Think about typical partnered sex in recent months, in decent conditions. This is about pattern, not pressure.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: orgasm with a partner is very uncommon for you, even when you want it and conditions are reasonably supportive.
2 = Mostly not true: orgasm with a partner is possible, but only in rare or unusually favorable situations.
3 = Slightly not true: orgasm with a partner happens from time to time, but it is not something you can generally count on.
4 = Mixed / depends: orgasm with a partner happens with some consistency, though it still feels variable and not fully dependable.
5 = Slightly true: orgasm with a partner is available to you fairly often and feels like a recurring part of partnered sex.
6 = Mostly true: orgasm with a partner happens in most supportive situations when you want it.
7 = Very true: orgasm with a partner is highly accessible and reliably available to you when you want it.","Used to tailor pacing, expectations, and guidance around orgasm and partnered pleasure. It does not directly define your archetype."
08000,8,Attachment Style & Emotional Safety,"How you bond — closeness, distance, and how you make up after conflict — shapes how safe your body feels during sex.",,,,,,
08002,8,Attachment Style & Emotional Safety,I generally feel secure in my close relationships.,1-7 scale,Select how true this statement is for you.,"Answer from your usual relational baseline, not one rough week. If your current relationship reflects a real shift, let it count.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: relationships often feel unstable, threatening, or hard to trust for you.
2 = Mostly not true: security is often hard to sustain, and worry, distrust, or withdrawal tend to show up more than steadiness.
3 = Slightly not true: some parts of you can feel secure, but insecurity still outweighs steadiness overall.
4 = Mixed / depends: some parts of you feel secure, but worry, withdrawal, or instability still show up in meaningful ways.
5 = Slightly true: you often can feel secure, even though certain triggers or patterns still shake that steadiness.
6 = Mostly true: you usually feel relatively safe, trusting, and steady in relationships, even if not perfectly all the time.
7 = Very true: you generally feel worthy of love, able to trust closeness, and able to stay relatively steady through distance or conflict.",Gives baseline context for how safe and settled you tend to feel in closeness and attachment.
08003,8,Attachment Style & Emotional Safety,"When someone you feel close to pulls away or goes cold, you usually…",Single choice,Select one option.,Picture a moment when someone close gets less warm or responsive than you'd like. Go with your most common first reaction.,"- Move toward them, looking for reassurance or contact
- Pull back, go quiet, or create distance yourself
- Get frustrated, irritated, or push back at them
- Stay calm and handle it on your own
- It depends on the person or situation",N/A,"Helps identify pursuit, withdrawal, protest, or self-regulation patterns that shape intimacy dynamics."
08004,8,Attachment Style & Emotional Safety,I usually want more closeness and togetherness than space and independence.,1-7 scale,Select how true this statement is for you.,"If your current relationship reflects a lasting shift in how you handle closeness vs. space, let that matter.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: you typically value autonomy and space; togetherness can feel constraining or overwhelming.
2 = Mostly not true: you generally prefer independence; closeness matters less to you than freedom.
3 = Slightly not true: you appreciate some closeness, but independence and personal space feel more important.
4 = Mixed / depends: you value closeness and independence equally, or your preference shifts depending on the person or life stage.
5 = Slightly true: you usually prefer more togetherness than space, though independence still matters to you.
6 = Mostly true: you strongly prefer closeness and togetherness; you feel less satisfied without frequent connection.
7 = Very true: you strongly prefer closeness and togetherness; independence feels much less important than connection.",Places you on a closeness-versus-distance pattern that shapes intimacy recommendations.
08005,8,Attachment Style & Emotional Safety,"After a real make-up talk where we both opened up, I often want them sexually.",1-7 scale,Select how true this statement is for you.,Think about a real reconnection moment after tension — not a quick patch-up. What usually happens to your desire after?,"1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: even after repair, desire usually does not increase much for you.
2 = Mostly not true: emotional repair may help a little at times, but it usually does not shift desire very much.
3 = Slightly not true: repair can help in some moments, though it does not reliably bring desire back for you.
4 = Mixed / depends: emotional repair helps in some situations, but not consistently.
5 = Slightly true: a good repair conversation often helps desire return at least somewhat.
6 = Mostly true: when repair happens well, desire usually increases or becomes more accessible for you.
7 = Very true: when emotional repair happens well, desire often returns or rises noticeably.",Strong clue for whether emotional reconnection reliably reopens desire for you.
08006,8,Attachment Style & Emotional Safety,"When I feel pressure during sex — to perform, to talk, or to take it further — I tend to shut down or want to pull away.",1-7 scale,Select how true this statement is for you.,"Pressure can be obvious or subtle. Go with what reliably happens in your body when you feel pushed, rushed, or watched.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: pressure does not usually make you shut down, withdraw, or lose openness.
2 = Mostly not true: some pressure may be unpleasant, but it usually does not cause a strong shutdown response.
3 = Slightly not true: pressure affects you at times, though it does not usually lead to major withdrawal.
4 = Mixed / depends: some forms of pressure affect you, but not always strongly or consistently.
5 = Slightly true: pressure often reduces your openness and can start to make you pull back.
6 = Mostly true: pressure fairly often makes your body or mind close down, withdraw, or lose desire.
7 = Very true: pressure reliably makes your body or mind close down, pull back, or lose openness.","High-weight indicator of pressure sensitivity, which strongly affects pacing, safety, and the kinds of recommendations that are likely to be useful."
08012,8,Attachment Style & Emotional Safety,I lose interest in sex when the other person leans on me too much emotionally.,1-7 scale,Select how true this statement is for you.,Answer from what actually happens when their need starts feeling like weight or pressure — not what you think should happen.,"1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: a partner’s increased emotional dependence does not usually reduce your attraction or desire.
2 = Mostly not true: emotional dependence may feel challenging sometimes, but it does not usually cool your erotic interest.
3 = Slightly not true: too much dependence can affect attraction occasionally, though it is not a strong pattern for you.
4 = Mixed / depends: in some situations, too much dependence can cool desire, but not consistently.
5 = Slightly true: when a partner becomes more emotionally dependent, your attraction can start to drop in noticeable ways.
6 = Mostly true: emotional overdependence fairly often reduces your erotic interest or sense of attraction.
7 = Very true: when a partner becomes too emotionally dependent, your attraction or erotic interest often drops noticeably.",We use this to tell whether too much emotional dependence or neediness tends to cool desire for you.
09013,9,Relational Patterns & Boundaries,"I sometimes use flirting or sex to calm tension, get reassurance, or avoid asking for what I need directly.",1-7 scale,Select how true this statement is for you.,"Think about patterns under stress in close relationships. If this has become a stable way you handle tension, count it.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: flirtation or sex is rarely used by you to influence the relationship dynamic or get needs met indirectly.
2 = Mostly not true: this may happen once in a while, but it is not usually part of how you navigate the relationship.
3 = Slightly not true: under stress or in certain situations, you might do this a little, though it is not a strong pattern.
4 = Mixed / depends: this may happen in certain situations, especially under stress, but it is not a dominant pattern.
5 = Slightly true: you sometimes use flirtation or sexuality to shape the dynamic, gain reassurance, or get needs met.
6 = Mostly true: using flirtation or sexuality to influence the dynamic or secure something relational is a fairly common pattern for you.
7 = Very true: using flirtation or sexuality to shape the dynamic, secure closeness, or steer the relationship is a recurring pattern for you.","We use this carefully to tell apart ordinary flirtation from a more strategic or influence-based dynamic, so we do not over-read it."
10000,10,Communication Style,Sex tends to be better when you can say what you like and hear the other person clearly. It's a skill — small phrases go a long way.,,,,,,
10002,10,Communication Style,"During sex, how do you most naturally show or say what you want? (Pick up to 3.)",Multiple choice,Select up to 3 options.,You may have more than one. Focus on what happens most easily when you're relaxed and into it.,"- Through touch — guiding hands, moving their body, using my own body
- With short, direct words (""more"", ""harder"", ""slower"", ""yes"")
- Talking and giving feedback throughout
- Checking in emotionally — asking how they feel, sharing how I feel
- Mostly through sounds, looks, and body language
- I don't communicate much during sex",N/A,"This tells us whether your communication style is more quiet, embodied, concise, expressive, or emotionally transparent."
10003,10,Communication Style,I'm comfortable expressing what turns me on.,1-7 scale,Select how true this statement is for you.,Think about real situations with another person — not private thoughts. How easily can you actually say it out loud?,"1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: expressing what turns you on feels difficult, vulnerable, or highly inhibited.
2 = Mostly not true: you can sometimes sense what you want, but saying it out loud often feels awkward, exposed, or hard.
3 = Slightly not true: you can express some desires, though it still takes effort and often comes with hesitation.
4 = Mixed / depends: you can express some desires in certain situations, but not always with ease or consistency.
5 = Slightly true: you can often communicate what turns you on, even if some inhibition or self-consciousness remains.
6 = Mostly true: you are usually able to name, signal, or communicate what turns you on with relatively little hesitation.
7 = Very true: you can usually name, signal, or communicate what turns you on with relative ease and low shame.","This shows how easily you can name and voice what turns you on, which changes the communication style we recommend."
10004,10,Communication Style,"I'm comfortable saying what I don't want — slowing things down, stopping, or naming a limit.",1-7 scale,Select how true this statement is for you.,"Think about in-the-moment situations. How easily can you slow, stop, redirect, or say no when something feels off?","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not comfortable at all: expressing limits or saying no feels very difficult, especially in the moment.
2 = Mostly not true: you may know your limits internally, but voicing them clearly often feels hard, risky, or guilt-provoking.
3 = Slightly not true: you can sometimes name boundaries, though it still takes effort or comes with noticeable hesitation.
4 = Mixed / depends: you can express limits in some situations, but not always clearly, easily, or consistently.
5 = Slightly true: you can often communicate what you do not want, even if some discomfort or self-consciousness remains.
6 = Mostly true: you are usually able to name limits and protect your boundaries with relatively little hesitation.
7 = Very true: you can usually express what you do not want clearly and protect your boundaries without major shutdown or guilt.","This shows how easily you can protect your boundaries in sexual moments, which helps us avoid advice that assumes over-accommodating is fine."
10005,10,Communication Style,"If the other person is quiet or hard to read during sex, I lose arousal.",1-7 scale,Select how true this statement is for you.,"Does low feedback from them make you lose momentum, confidence, or interest in continuing?","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: your arousal does not depend much on visible feedback or expressiveness from the other person.
2 = Mostly not true: a quiet or neutral counterpart may register a little, but it usually does not lower your arousal much.
3 = Slightly not true: feedback matters somewhat, though you can usually stay engaged even if the other person is hard to read.
4 = Mixed / depends: a quiet or neutral counterpart can affect your arousal in some situations, but not always strongly.
5 = Slightly true: whenthe other person is hard to read, your arousal often drops at least somewhat.
6 = Mostly true: visible feedback is usually important for your arousal, and neutrality often reduces your engagement.
7 = Very true: when the other person is hard to read, your arousal often drops noticeably.","This is one of the strongest clues for whether your arousal depends on visible feedback, enthusiasm, and feeling responded to."
11001,11,Partner-Related Needs,Which power dynamic most naturally turns you on?,Single choice,Select one option.,"Pick what feels most alive in your body, not what sounds 'right' to want.","- Being the one in charge — leading, directing, setting the pace
- Letting the other person take charge — following, surrendering, being led
- Switching — sometimes leading, sometimes letting go
- Equal — we meet in the middle, no one's in charge
- Not sure / depends on the situation",N/A,"This gives us a direct clue about whether your energy tends toward leading, surrendering, switching, or staying mostly role-light."
11002,11,Partner-Related Needs,"I enjoy clear roles, agreements, or rules during sex.",1-7 scale,Select how true this statement is for you.,"Do clear expectations, defined roles, or agreed rules tend to make sex feel easier, safer, or hotter for you?","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: structure, protocols, or explicit rules usually feel unnecessary or restrictive for you.
2 = Mostly not true: some clarity may help occasionally, but formal structure is usually not part of what makes sex work for you.
3 = Slightly not true: you can appreciate a little structure in some contexts, though you generally do not rely on it much.
4 = Mixed / depends: some degree of structure can help, depending on context, mood, or partner dynamic.
5 = Slightly true: clear roles, agreements, or structure often improve the experience, even if you do not always need them.
6 = Mostly true: clear rules, roles, or agreed structure usually make sex feel easier, safer, or more erotically alive for you.
7 = Very true: clear rules, roles, or agreed structure often make sex feel more open, safe, or erotically alive for you.","We use this to tell whether rules, roles, and explicit agreements make sex feel freer for you rather than restrictive."
11003,11,Partner-Related Needs,"During sex, I focus more on the other person's pleasure than on my own.",1-7 scale,Select how true this statement is for you.,Think about where your attention actually lands during sex — not where you think it ought to go.,"1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: my attention is usually much more on my own experience than the other person’s.
2 = Mostly not true: my attention tends to stay more on my own experience than the other person’s.
3 = Slightly not true: my attention is somewhat more on my own experience than the other person’s.
4 = Mixed / depends: my attention feels fairly balanced, or it depends on the context or who I'm with.
5 = Slightly true: my attention tends to go somewhat more toward the other person’s experience than toward my own.
6 = Mostly true: my attention usually goes more toward the other person’s experience than toward my own.
7 = Very true: my attention strongly and naturally goes more toward the other person’s experience than toward my own.","This helps us distinguish giving-focused, balanced, and receiving-or-guided dynamics in the way you naturally relate during sex."
11004,11,Partner-Related Needs,"Taking care of someone — being attentive, soothing, healing — turns me on.",1-7 scale,Select how true this statement is for you.,Rate how much giving care fuels your desire.,"1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: This does not deepen connection and may pull you out of desire.
2 = Mostly not true: You care, but soothing them usually does not increase sexual connection.
3 = Slightly not true: It may help occasionally, but it is not usually connecting for you.
4 = Mixed / depends: It depends on who I'm with, situation, intensity, or timing.
5 = Slightly true: It can add some warmth or closeness, but is not central.
6 = Mostly true: Reassuring or grounding them often deepens your sexual connection.
7 = Very true: Helping them feel emotionally safe strongly increases intimacy and connection.",This is a very strong clue for whether caregiving and emotional soothing are part of what makes sex feel connecting for you.
14020,14,Identity & Conditioning,What most reliably makes you actually want sex? (Pick up to 3.),Multiple choice,Select up to 3 options.,"Several may fit. Pick the ones that actually bring your desire online, not every reason sex can matter.","- Feeling emotionally close to the other person
- Fun and play — pleasure for its own sake
- Trying something new or unfamiliar
- Strong charge, tension, or edge
- Feeling wanted, desired, or chosen
- A clear lead/follow dynamic between us
- Meaning, depth, or devotion
- Pleasing or taking care of the other person
- Comfort, soothing, or stress relief",N/A,"This is one of the most important direct questions in the assessment because it tells us what actually pulls desire online for you: bonding, play, novelty, power, meaning, repair, comfort, intensity, escape, or service."
